Unnamed: 0,0,1,2,3,4,5,6,7
20,"realme C30s (Stripe Black, 32 GB)","4.21,678 Ratings & 146 Reviews",2 GB RAM | 32 GB ROM | Expandable Upto 1 TB,16.51 cm (6.5 inch) HD+ Display,8MP Rear Camera | 5MP Front Camera,5000 mAh Lithium Ion Battery,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In-Box Accessories,"₹6,999₹9,99930% offFree deliveryUpto ₹6,450 Off on ExchangeBank Offer"
0,Nokia 105 DS,"4.218,309 Ratings & 1,808 Reviews",4 MB RAM | 4 MB ROM,4.57 cm (1.8 inch) Display,1000 mAh Battery,1 Year Manufacturer Warranty,,"₹1,515₹1,69910% offFree deliveryBank Offer"
1,"SAMSUNG GALAXY M13 5G (Stardust Brown, 64 GB)","4.21,072 Ratings & 61 Reviews",4 GB RAM | 64 GB ROM,16.51 cm (6.5 inch) Display,50MP Rear Camera,5000 mAh Battery,,"₹12,990₹16,99923% offFree deliveryBank Offer"
2,"itel A60 (SapphireBlack, 32 GB)",4.1202 Ratings & 16 Reviews,2 GB RAM | 32 GB ROM,16.76 cm (6.6 inch) HD Display,8MP Rear Camera,5000 mAh Battery,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In box Accessories Including,"₹5,985₹7,19916% offFree deliveryHot DealBank Offer"
3,"Nokia G11 Plus TA-1438 DS (Grey, 64 GB)",3.5590 Ratings & 90 Reviews,4 GB RAM | 64 GB ROM,16.55 cm (6.517 inch) Display,50MP Rear Camera,5000 mAh Battery,,"₹8,800₹13,99937% offFree deliveryBank Offer"
4,I Kall K26,4289 Ratings & 15 Reviews,32 MB RAM | 32 MB ROM,4.5 cm (1.77 inch) Display,0.3MP Rear Camera,1000 mAh Battery,,"₹749₹1,34944% offFree deliveryBank Offer"
5,itel it2163s,"4.110,464 Ratings & 522 Reviews",32 MB RAM | 32 MB ROM,4.57 cm (1.8 inch) Display,0.3MP Rear Camera,1200 mAh Battery,,"₹1,190₹1,49920% offBank Offer"
6,"REDMI A1+ (Black, 32 GB)","4.21,678 Ratings & 153 Reviews",3 GB RAM | 32 GB ROM | Expandable Upto 512 GB,16.56 cm (6.52 inch) HD+ Display,8MP Rear Camera | 5MP Front Camera,5000 mAh Lithium Polymer Battery,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories,"₹8,499₹10,99922% offFree deliveryUpto ₹7,950 Off on ExchangeBank Offer"
7,"SAMSUNG Galaxy A34 5G (Awesome Graphite, 256 GB)","4.31,906 Ratings & 121 Reviews",8 GB RAM | 256 GB ROM | Expandable Upto 1 TB,16.76 cm (6.6 inch) Full HD+ Display,48MP + 8MP + 5MP | 13MP Front Camera,5000 mAh Li-ion Battery Battery,1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories,"₹32,999₹39,49916% offFree deliveryUpto ₹32,050 Off on ExchangeBank Offer"
8,"IQOO Z6 Lite 5G (With Charger) (Stellar Green, 128 GB)","4.645,294 Ratings & 1,805 Reviews",6 GB RAM | 128 GB ROM,16.97 cm (6.68 inch) Display,50MP Rear Camera,5000 mAh Battery,,"₹15,289₹18,99919% offFree deliveryBank Offer"
9,"APPLE iPhone 14 ((PRODUCT)RED, 128 GB)","3.91,462 Ratings & 270 Reviews",128 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,"A15 Bionic Chip, 6 Core Processor Processor",,"₹67,999₹79,90014% offFree deliveryDaily SaverUpto ₹61,000 Off on Exchange"
10,Good One G5605N,"4.35,620 Ratings & 805 Reviews",32 MB RAM | 32 MB ROM | Expandable Upto 32 GB,4.57 cm (1.8 inch) Display,2MP Rear Camera,2500 mAh Battery,,"₹999₹1,99950% offFree deliveryBank Offer"
11,"Google Pixel 7 (Lemongrass, 128 GB)","4.614,064 Ratings & 879 Reviews",8 GB RAM | 128 GB ROM,16.0 cm (6.3 inch) Full HD+ Display,50MP + 12MP | 10.8MP Front Camera,4270 mAh Battery,1 Year Domestic Warranty,"₹49,999₹59,99916% offFree deliveryUpto ₹49,000 Off on ExchangeBank Offer"
