maker,product_name,color,num_reviews,ratings_new,num_ratings_new,RAM(GB),ROM(GB),Expandable_ROM(GB),Display_Size(cm),Display_type,Rear_Camera(MB),Front_Camera(MB),Battery_Backup(mAh),Price(₹),Rear_Dual_Camera
SAMSUNG,Galaxy,Light Green,285,4.1,4719,4,64,0,16.51,HD+ Display,13,5 ,5000,8096,0
vivo,T2,Nitro Blaze,572,4.4,8363,8,128,0,16.21,Full HD+ Display,2,16 ,4500,20999,0
vivo,T2,Velocity Wave,2748,4.4,44129,6,128,0,16.21,Full HD+ Display,2,16 ,4500,18999,0
vivo,T2,Nitro Blaze,2748,4.4,44129,6,128,0,16.21,Full HD+ Display,2,16 ,4500,18999,0
GFive,U873,0,947,3.5,10734,0.03125,0.03125,16,4.57,Display,3,0,1000,725,0
POCO,C50,Country Green,1098,4.0,17413,3,32,512,16.56,HD+ Display,8,5 ,5000,6299,0
GFive,U220i,0,76,3.3,816,0.03125,0.03125,16,4.57,Display,3,0,1000,699,0
realme,C30,Bamboo Green,3807,4.1,63219,3,32,1024,16.51,HD+ Display,8,5 ,5000,6499,0
vivo,T2,Velocity Wave,572,4.4,8363,8,128,0,16.21,Full HD+ Display,2,16 ,4500,20999,0
POCO,M6,Power Black,52,4.5,612,4,64,1024,17.25,Full HD+ Display,50,8 ,5000,10999,0
Infinix,HOT,Racing Black,1478,4.4,29072,4,64,256,17.32,HD+ Display,0,8 ,6000,7999,0
GFive,U873,0,947,3.5,10734,0.03125,0.03125,16,4.57,Display,3,0,1000,725,0
Micromax,X512,0,7,3.9,194,0.03125,0.03125,0,4.5,Display,3,0,1750,1099,0
realme,10,Clash White,1428,4.2,17953,4,64,1024,16.26,Full HD+ Display,50,16 ,5000,11499,0
Micromax,X512,0,952,3.9,10658,0.0546875,0.0234375,0,4.5,Display,3,0,1750,1799,0
itel,Magic,0,371,3.9,3423,0.0625,0.125,0,6.1,Display,3,0,2500,2498,0
realme,C30,Lake Blue,5706,4.2,107613,2,32,1024,16.51,HD+ Display,8,5 ,5000,5999,0
Google,Pixel,Chalk,6809,4.3,57562,6,128,0,15.6,Full HD+ Display,2,8 ,4410,26999,0
itel,Ace2,0,127,4,1467,0.00390625,0.00390625,32,4.57,Quarter QVGA Display,0,0,1000,905,0
realme,10,Clash White,1428,4.2,17953,4,64,1024,16.26,Full HD+ Display,50,16 ,5000,11499,0
MOTOROLA,g14,Steel Gray,55,4.2,492,4,128,1024,16.51,Full HD+ Display,50,8 ,5000,9999,0
SAMSUNG,Galaxy,Waterfall Blue,9457,4.3,165251,4,128,1024,16.76,Full HD+ Display,50,8 ,6000,11999,0
MOTOROLA,g72,Meteorite Grey,2370,4.1,18634,6,128,1024,16.64,Full HD+ Display,108,16 ,5000,14999,0
itel,Ace2,0,127,4,1467,0.00390625,0.00390625,32,4.57,Quarter QVGA Display,0,0,1000,905,0
APPLE,iPhone,Midnight,1720,4.6,45294,0,128,0,15.49,Super Retina XDR Display,12,12 ,0,68999,0
realme,10,Dark Matter,2023,4.3,27837,8,128,1024,17.07,Full HD+ Display,108,16 ,5000,19999,0
LAVA,Hero,0,87,4,1501,0.00390625,0.0029296875,32,4.57,QVGA Display,0,0,0,898,0
Infinix,Note,Sunset Gold,1637,4.2,11446,8,256,2048,17.22,Full HD+ Display,0,16 ,5000,15999,0
POCO,X5,Supernova Green,1273,4.2,16671,6,128,1024,16.94,Full HD+ Display,48,13 ,5000,15999,0
REDMI,12,Pastel Blue,315,4.4,4390,4,128,1024,17.25,Full HD+ Display,50,8 ,5000,9999,0
Infinix,HOT,Space Blue,1159,4.2,14888,4,64,1024,16.76,Full HD+ Display,50,8 ,5000,11499,0
Infinix,HOT,Blaster Green,1159,4.2,14888,4,64,1024,16.76,Full HD+ Display,50,8 ,5000,11499,0
Snexian,GURU,0,1684,3.3,21177,0.03125,0.03125,0,4.57,NA Display,3,0,800,699,0
REDMI,A2,Aqua Blue,86,4.1,1531,4,64,0,16.56,Display,8,0,5000,7384,0
REDMI,A2,Classic Black,86,4.1,1531,4,64,0,16.56,Display,8,0,5000,7214,0
POCO,M4,Cool Blue,1897,4.2,24350,8,128,1024,16.33,Full HD+ AMOLED Display,64,16 ,5000,13999,0
Nokia,105,0,709,4.1,10592,0.00390625,0.00390625,0,4.5,Display,0,0,1000,1549,0
Infinix,Note,Interstellar Blue,1637,4.2,11446,8,256,2048,17.22,Full HD+ Display,0,16 ,5000,15999,0
Infinix,Note,Interstellar Blue,185,4.1,1611,4,128,2048,17.22,Full HD+ Display,0,16 ,5000,14999,0
Snexian,Guru,0,1684,3.3,21177,0.03125,0.0625,16,4.57,Quarter QVGA Display,3,0,800,670,0
POCO,C50,Country Green,1098,4.0,17413,3,32,512,16.56,HD+ Display,8,5 ,5000,6299,0
Google,Pixel,Charcoal,6809,4.3,57562,6,128,0,15.6,Full HD+ Display,2,8 ,4410,26999,0
Infinix,NOTE,Metaverse Blue,835,4.2,8205,4,64,512,17.02,Full HD+ AMOLED Display,0,8 ,5000,9499,0
REDMI,Note,Glacier Blue,2935,4.2,30320,6,128,0,16.94,Full HD+ AMOLED Display,50,16 ,5000,23999,0
MOTOROLA,e13,Creamy White,392,4,4490,2,64,1024,16.51,HD+ Display,13,5 ,5000,6499,0
IQOO,Z6,With Charger) ,118,4.3,1906,6,128,0,16.97,Display,50,0,5000,15265,0
Micromax,S114,0,20,3.8,377,0.03125,0.0625,0,4.5,Display,08,0,1000,930,0
Micromax,S114,0,20,3.8,377,0.03125,0.0625,0,4.5,Display,08,0,1000,956,0
Micromax,S114,0,20,3.8,377,0.03125,0.0625,0,4.5,Display,08,0,1000,965,0
DIZO,Star,0,1725,3.9,15700,0.03125,0.03125,64,7.11,QVGA Display,3,0,1900,1765,0
MOTOROLA,Edge,Nebula Green,2523,4.2,16486,8,256,0,16.51,Full HD+ Display,50,32 ,4400,29999,0
LAVA,Hero,0,87,4,1501,0.00390625,0.0029296875,32,4.57,Display,0,0,0,898,0
Nokia,105,0,709,4.1,10592,0.00390625,0.00390625,0,4.5,Display,0,0,1000,1549,0
Infinix,HOT,Knight Black,63,4.2,542,4,128,1024,17.22,Full HD+ Display,0,8 ,6000,12499,0
APPLE,iPhone,Purple,1720,4.6,45294,0,128,0,15.49,Super Retina XDR Display,12,12 ,0,68999,0
MOTOROLA,g73,Lucent White,2888,4.0,23948,8,128,1024,16.51,Full HD+ Display,50,16 ,5000,16999,0
realme,10,Hyperspace,2023,4.3,27837,8,128,1024,17.07,Full HD+ Display,108,16 ,5000,19999,0
realme,10,Nebula Blue,2023,4.3,27837,8,128,1024,17.07,Full HD+ Display,108,16 ,5000,19999,0
REDMI,Note,Lunar Black,948,4.1,11169,6,64,1024,16.94,Full HD+ Super AMOLED Display,50,13 ,5000,13999,0
REDMI,A1+,Light Green,400,4.2,9758,2,32,512,16.56,HD+ Display,8,5 ,5000,6299,0
realme,10,Hyperspace,2481,4.3,34512,6,128,1024,17.07,Full HD+ Display,108,16 ,5000,18999,0
realme,10,Nebula Blue,2481,4.3,34512,6,128,1024,17.07,Full HD+ Display,108,16 ,5000,18999,0
Snexian,Guru,0,1684,3.3,21177,0.03125,0.0625,16,4.57,NA Display,3,0,800,670,0
POCO,X5,Wildcat Blue,1273,4.2,16671,6,128,1024,16.94,Full HD+ Display,48,13 ,5000,15999,0
vivo,Y02t,Cosmic Grey,29,4.2,643,4,64,0,16.54,HD+ Display,8,5 ,5000,9999,0
vivo,Y02t,Cosmic Grey,29,4.2,643,4,64,0,16.54,HD+ Display,8,5 ,5000,9999,0
REDMI,A1+,Light Green,400,4.2,9758,2,32,512,16.56,HD+ Display,8,5 ,5000,6299,0
realme,Narzo,Feather Gold,52,4.3,920,4,64,0,17.12,Display,50,0,5000,9967,0
GFive,U106,0,199,3.5,2467,0.03125,0.0625,16,4.57,Display,3,0,950,725,0
GFive,U220+,0,600,3.5,5550,0.03125,0.03125,0,4.57,Display,3,0,1000,699,0
MOTOROLA,Edge,Eclipse Black,2523,4.2,16486,8,256,0,16.51,Full HD+ Display,50,32 ,4400,29999,0
Infinix,NOTE,Force Black,835,4.2,8205,4,64,512,17.02,Full HD+ AMOLED Display,0,8 ,5000,9499,0
vivo,Y02t,Sunset Gold,29,4.2,643,4,64,0,16.54,HD+ Display,8,5 ,5000,9999,0
Nokia,125,0,439,3.9,6819,0.00390625,0.00390625,0,6.1,Display,0,0,0,2349,0
SAMSUNG,Galaxy,B.A.E. Purple,2272,4.2,29399,6,128,1024,16.76,Full HD+ Display,50,13 ,6000,14990,0
LAVA,A3,0,242,4.1,2661,0,0,32,4.5,Quarter QVGA Display,3,0,2575,1379,0
SAMSUNG,Guru,0,19013,4.3,208497,0,0,0,5.08,NA Display,0,0,0,2890,0
Infinix,NOTE,Alpine White,835,4.2,8205,4,64,512,17.02,Full HD+ AMOLED Display,0,8 ,5000,9499,0
POCO,X4,Laser Blue,2253,4.2,23357,8,128,1024,16.94,Full HD+ Super AMOLED Display,64,16 ,5000,17999,0
REDMI,Note,Mystique Blue,281,4,3325,4,128,1024,16.94,Full HD+ AMOLED Display,48,13 ,5000,16999,0
Infinix,HOT,Racing Black,1159,4.2,14888,4,64,1024,16.76,Full HD+ Display,50,8 ,5000,11499,0
Nokia,105,0,29,3.8,384,0.00390625,0.00390625,0,4.57,Display,0,0,0,1385,0
realme,10,Dark Matter,2481,4.3,34512,6,128,1024,17.07,Full HD+ Display,108,16 ,5000,18999,0
Nokia,105,0,6328,4.2,85073,0.00390625,0.00390625,0,4.5,Quarter QVGA Display,0,0,0,1549,0
realme,11,Sunrise Beige,1977,4.3,21472,8,256,0,17.02,Full HD+ Display,100,16 ,5000,24999,0
Nokia,105,0,709,4.1,10592,0.00390625,0.00390625,0,4.5,Display,0,0,1000,1549,0
POCO,M5,Yellow,442,4.2,6724,6,128,512,16.71,Full HD+ Display,50,8 ,5000,14499,0
KARBONN,Jumbo,0,1338,4.0,13662,0,0,8,6.6,QVGA Display,3,0,1800,1299,0
Infinix,HOT,Miami Orange,274,4.2,2605,8,128,1024,17.22,Full HD+ Display,0,8 ,6000,13499,0
SAMSUNG,Galaxy,Opal Green,2210,4.2,37930,4,64,1024,16.51,HD Display,13,5 ,5000,8499,0
SAMSUNG,Galaxy,Aqua Blue,15925,4.3,204853,6,128,1024,16.76,Full HD+ Display,50,8 ,5000,16999,0
Infinix,HOT,Miami Orange,289,4.2,2605,8,128,1024,17.22,Full HD+ Display,0,8 ,6000,13499,0
REDMI,Note,Frosted Green,330,4.1,4539,6,128,1024,16.94,Full HD+ AMOLED Display,48,13 ,5000,18999,0
POCO,X5,Jaguar Black,406,4.1,5208,8,256,1024,16.94,Full HD+ Display,48,13 ,5000,17999,0
Nokia,105,0,6331,4.2,85073,0.00390625,0.00390625,0,4.5,Quarter QVGA Display,0,0,0,1549,0
realme,11,Sunrise Beige,2132,4.3,21472,8,256,0,17.02,Full HD+ Display,100,16 ,5000,24999,0
POCO,M5,Yellow,456,4.2,6724,6,128,512,16.71,Full HD+ Display,50,8 ,5000,14499,0
Micromax,X512,0,954,3.9,10658,0.0546875,0.0234375,0,4.5,Display,3,0,1750,1090,0
LAVA,A1,0,11555,4.2,110158,0.0234375,0.0234375,32,4.5,Quarter QVGA Display,3,0,800,1049,0
Infinix,Zero,Submariner Black,699,4.1,6528,8,128,256,17.22,Full HD+ Display,50,16 ,5000,14999,0
LAVA,A3,0,244,4.1,2661,0,0,32,4.5,Quarter QVGA Display,3,0,2575,1379,0
MOTOROLA,g42,Atlantic Green,1051,4.2,9973,4,64,0,16.26,Full HD+ AMOLED Display,50,16 ,5000,12499,0
REDMI,Note,Sunrise Gold,990,4.1,11169,6,64,1024,16.94,Full HD+ Super AMOLED Display,50,13 ,5000,13999,0
REDMI,Note,Ice Blue,990,4.1,11169,6,64,1024,16.94,Full HD+ Super AMOLED Display,50,13 ,5000,13999,0
SAMSUNG,Galaxy,Sunrise Copper,9667,4.3,165251,4,128,1024,16.76,Full HD+ Display,50,8 ,6000,11999,0
POCO,X4,Laser Blue,2289,4.2,23357,8,128,1024,16.94,Full HD+ Super AMOLED Display,64,16 ,5000,17999,0
vivo,Y02,Cosmic Grey,39,4.2,783,3,32,0,16.54,HD+ Display,8,5 ,5000,8499,0
SAMSUNG,Galaxy,Icy Silver,181,4.2,2378,6,128,0,16.76,Display,50,0,6000,15389,0
